Time (s),X Position,Y Position,Z Position,Travel Distance,Lidar Points,CPU Usage (%),Memory Usage (MB)
-,-,-,-,-,720,-,-
17.31,7.879550034465847e-34,0.0,0.0,0.0,-,-,-
17.35,1.4438837664314109e-33,-8.218798786580983e-75,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.39,2.098396801635926e-33,-2.2156216693806165e-73,0.0,0.0,-,-,-
17.43,2.750764719517423e-33,-2.5441178177622167e-73,0.0,0.0,-,-,-
17.47,3.400262249465398e-33,-2.380345061703738e-73,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.51,4.046169274236582e-33,-4.8096926802874175e-73,0.0,0.0,-,-,-
17.55,4.6877722969718935e-33,-5.775529813258802e-73,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.59,-1.3570241592020934e-14,1.1677319272894194e-29,0.0,0.0,-,-,-
17.63,-1.5261235822903883e-14,1.4768911953231835e-29,0.0,0.0,-,-,-
17.67,-1.694853809335237e-14,1.8216349990172744e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.71,-1.8632064635092407e-14,2.2017408121573713e-29,0.0,0.0,-,-,-
17.75,-2.0311281218717246e-14,2.6169073603546356e-29,0.0,0.0,-,-,-
17.79,-2.198660783392271e-14,3.067064806653156e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.84,-2.3658044122627433e-14,3.552062327905288e-29,0.0,0.0,-,-,-
17.87,-2.5325655048198433e-14,4.071769455925482e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
17.91,-2.698906677738864e-14,4.625840101875778e-29,0.0,0.0,-,-,-
17.96,-2.8648724641997837e-14,5.214234637353165e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.0,-3.030429829026599e-14,5.836702072613231e-29,0.0,0.0,-,-,-
18.04,-3.195600205485487e-14,6.493129995725222e-29,0.0,0.0,-,-,-
18.08,-3.360374376966937e-14,7.183316809192736e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.12,-3.52474498919104e-14,7.907083787890796e-29,0.0,0.0,-,-,-
18.16,-3.688732360786751e-14,8.664316493025777e-29,0.0,0.0,-,-,-
18.2,-3.8523397931261636e-14,9.454898217955828e-29,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.26,-4.015531400902799e-14,1.027850309131064e-28,0.0,0.0,-,-,-
18.29,-4.178324924906883e-14,1.1135013134169278e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.34,-4.3407499769564797e-14,1.2024479170217155e-28,0.0,0.0,-,-,-
18.39,-4.502749592219006e-14,1.2946360857713655e-28,0.0,0.0,-,-,-
18.43,-4.664372608966668e-14,1.3900825502787416e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.48,-4.8255994521752845e-14,1.4887572149525053e-28,0.0,0.0,-,-,-
18.51,-4.986443724901439e-14,1.5906503379660497e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.55,-5.146873037400125e-14,1.6957230751074525e-28,0.0,0.0,-,-,-
18.59,-5.3069200032894326e-14,1.8039791083832093e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.63,-5.4665967435019936e-14,1.9154118087641442e-28,0.0,0.0,-,-,-
18.67,-5.625859871333988e-14,2.0299736048476064e-28,0.0,0.0,-,-,-
18.71,-5.784732874228189e-14,2.1476650318234437e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.75,-5.943202521744895e-14,2.268463301592949e-28,0.0,0.0,-,-,-
18.79,-6.101275815825193e-14,2.3923525741085795e-28,0.0,0.0,-,-,-
18.83,-6.258945646885685e-14,2.5193136114564154e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.88,-6.416246568033448e-14,2.649352944445841e-28,0.0,0.0,-,-,-
18.92,-6.573152098765979e-14,2.7824334086155033e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
18.96,-6.729656217360532e-14,2.9185318594489234e-28,0.0,0.0,-,-,-
19.0,-6.885784524783692e-14,3.0576569159030444e-28,0.0,0.0,-,-,-
19.04,-7.041493095372962e-14,3.1997488466572394e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.09,-7.196824609956891e-14,3.34483244742275e-28,0.0,0.0,-,-,-
19.12,-7.351757959422705e-14,3.492869790044632e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.16,-7.506297134218046e-14,3.6438508157778257e-28,0.0,0.0,-,-,-
19.2,-7.660459479246504e-14,3.7977721310641977e-28,0.0,0.0,-,-,-
19.25,-7.814207816523645e-14,3.9545807506227106e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.29,-7.967560562152808e-14,4.114282040021127e-28,0.0,0.0,-,-,-
19.33,-8.120538502109458e-14,4.276876997289653e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.37,-8.273121669571535e-14,4.442333899144177e-28,0.0,0.0,-,-,-
19.41,-8.425306308842634e-14,4.610630695419729e-28,0.0,0.0,-,-,-
19.45,-8.577105853793344e-14,4.781763965422123e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.5,-8.728497242780843e-14,4.955687599226037e-28,0.0,0.0,-,-,-
19.53,-8.879513055541532e-14,5.132422084417548e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.57,-9.030123502955857e-14,5.311917797979267e-28,0.0,0.0,-,-,-
19.61,-9.180341544958833e-14,5.494170727217706e-28,0.0,0.0,-,-,-
19.66,-9.330188524203727e-14,5.679194549534618e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.7,-9.479627703172664e-14,5.866923486389841e-28,0.0,0.0,-,-,-
19.74,-9.628675327944925e-14,6.057363689706236e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.78,-9.777343914601226e-14,6.2505097839121275e-28,0.0,0.0,-,-,-
19.82,-9.925609678986499e-14,6.4463180220942595e-28,0.0,0.0,-,-,-
19.86,-1.007347956601885e-13,6.644771958049782e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.9,-1.0220974591224937e-13,6.845888182544703e-28,0.0,0.0,-,-,-
19.94,-1.0368064072223107e-13,7.049609176987972e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
19.98,-1.0514773058247422e-13,7.255953874457894e-28,0.0,0.0,-,-,-
20.02,-1.0661065758343586e-13,7.4648502068669e-28,0.0,0.0,-,-,-
20.07,-1.0806962213649951e-13,7.676313685918019e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.11,-1.0952464265334784e-13,7.890330030894168e-28,0.0,0.0,-,-,-
20.15,-1.1097591146751864e-13,8.106910702327398e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.19,-1.1242317998537888e-13,8.325997130459853e-28,0.0,0.0,-,-,-
20.23,-1.1386669713208236e-13,8.547611575722538e-28,0.0,0.0,-,-,-
20.28,-1.153060680871327e-13,8.771674884667842e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.31,-1.1674153054271147e-13,8.998212673872805e-28,0.0,0.0,-,-,-
20.35,-1.1817292830326978e-13,9.227183986067998e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.39,-1.196007212741811e-13,9.458642880391602e-28,0.0,0.0,-,-,-
20.43,-1.210244450560043e-13,9.6924955122186e-28,0.0,0.0,-,-,-
20.47,-1.2244429546894342e-13,9.928753345566917e-28,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.51,-1.2386026563199914e-13,1.0167401554569399e-27,0.0,0.0,-,-,-
20.55,-1.2527240232631295e-13,1.0408432557642821e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.59,-1.2668076764966416e-13,1.0651840997762902e-27,0.0,0.0,-,-,-
20.63,-1.2808527583923384e-13,1.0897600803900533e-27,0.0,0.0,-,-,-
20.68,-1.2948543791013767e-13,1.114560875541175e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.72,-1.3088178200027446e-13,1.1395935381423249e-27,0.0,0.0,-,-,-
20.76,-1.3227417212962513e-13,1.1648537937219555e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.79,-1.3366265987417808e-13,1.190341497918479e-27,0.0,0.0,-,-,-
20.83,-1.3504756320443448e-13,1.2160608067827317e-27,0.0,0.0,-,-,-
20.88,-1.3642824283528723e-13,1.2419985229779285e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
20.92,-1.3780522786007218e-13,1.268162310912958e-27,0.0,0.0,-,-,-
20.96,-1.3917828664236268e-13,1.2945462183852482e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.0,-1.4054742203076266e-13,1.3211486381724274e-27,0.0,0.0,-,-,-
21.04,-1.419126693158698e-13,1.3479686689445859e-27,0.0,0.0,-,-,-
21.08,-1.4327386784757424e-13,1.3750015853212647e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.12,-1.4463129487345713e-13,1.4022510239752842e-27,0.0,0.0,-,-,-
21.16,-1.4598462514374716e-13,1.4297085241252796e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.2,-1.4733402723205887e-13,1.4573757198687057e-27,0.0,0.0,-,-,-
21.24,-1.4867956388580056e-13,1.485252340138299e-27,0.0,0.0,-,-,-
21.29,-1.5002109528461696e-13,1.513333727170125e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.32,-1.5135912640195373e-13,1.5416290336331931e-27,0.0,0.0,-,-,-
21.36,-1.526927866718837e-13,1.5701183290660676e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.41,-1.540227205736588e-13,1.5988136978948842e-27,0.0,0.0,-,-,-
21.45,-1.5534868180191186e-13,1.6277075796594264e-27,0.0,0.0,-,-,-
21.49,-1.5667106954484442e-13,1.6568074003319725e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.53,-1.5798930593069366e-13,1.6860988351330338e-27,0.0,0.0,-,-,-
21.57,-1.5930359957589257e-13,1.715584923153806e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
21.61,-1.606139207840139e-13,1.7452635765576606e-27,0.0,0.0,-,-,-
