Time (s),X Position,Y Position,Z Position,Speed (m/s),Acceleration (m/s²),Obstacle Distance (m),Rotation Angle (deg),LiDAR Points
1742215227.56,7.879550034465847e-34,0.0,0.0,0,0,2.24,0.0,720
1742215227.6,1.4438837664314109e-33,-8.218798786580983e-75,0.0,0.0,0.0,2.24,-0.0,720
1742215227.65,2.098396801635926e-33,-2.2156216693806165e-73,0.0,0.0,-0.0,2.23,-0.0,720
1742215227.69,2.750764719517423e-33,-2.5441178177622167e-73,0.0,0.0,-0.0,2.23,0.0,720
1742215227.73,3.400262249465398e-33,-2.380345061703738e-73,0.0,0.0,0.0,2.23,-0.0,720
1742215227.77,4.046169274236582e-33,-4.8096926802874175e-73,0.0,0.0,-0.0,2.24,-0.0,720
1742215227.81,4.6877722969718935e-33,-5.775529813258802e-73,0.0,0.0,-0.0,2.24,-0.0,720
1742215227.85,-1.3570241592020934e-14,1.1677319272894194e-29,0.0,0.0,0.0,2.35,-0.0,720
1742215227.89,-1.5261235822903883e-14,1.4768911953231835e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215227.93,-1.694853809335237e-14,1.8216349990172744e-29,0.0,0.0,0.0,2.35,-0.0,720
1742215227.97,-1.8632064635092407e-14,2.2017408121573713e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.01,-2.0311281218717246e-14,2.6169073603546356e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.05,-2.198660783392271e-14,3.067064806653156e-29,0.0,0.0,0.0,2.37,-0.0,720
1742215228.09,-2.3658044122627433e-14,3.552062327905288e-29,0.0,0.0,0.0,2.37,-0.0,720
1742215228.13,-2.5325655048198433e-14,4.071769455925482e-29,0.0,0.0,0.0,2.37,-0.0,720
1742215228.17,-2.698906677738864e-14,4.625840101875778e-29,0.0,0.0,-0.0,2.36,-0.0,720
1742215228.21,-2.8648724641997837e-14,5.214234637353165e-29,0.0,0.0,-0.0,2.36,-0.0,720
1742215228.25,-3.030429829026599e-14,5.836702072613231e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.29,-3.195600205485487e-14,6.493129995725222e-29,0.0,0.0,0.0,2.35,-0.0,720
1742215228.33,-3.360374376966937e-14,7.183316809192736e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.37,-3.52474498919104e-14,7.907083787890796e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.42,-3.688732360786751e-14,8.664316493025777e-29,0.0,0.0,-0.0,2.35,-0.0,720
1742215228.46,-3.8523397931261636e-14,9.454898217955828e-29,0.0,0.0,-0.0,2.35,-0.0,720
